rate,V_I,avoided_desalination,K_D,K_P
0.0,0.0,0.0,,
0.02,0.6,3.841694,6.402823,5.702823
0.04,1.2,8.153178,6.794315,6.094315
0.08,2.4,14.920427,6.216845,5.516845
0.12,3.6,18.384855,5.106904,4.406904
0.16,4.8,19.462308,4.054647,3.354647
0.20,6.0,19.462308,3.243718,2.543718
