delay,V_D,cost_of_delay,V_I
0.0,0.0,0.0,6.0
0.5,0.0,0.0,5.9
1.0,0.0,0.0,5.8
1.5,0.0,0.0,5.7
2.0,0.0,0.0,5.6
2.5,0.0,0.0,5.5
3.0,0.005821,0.005821,5.4
5.0,0.109561,0.109561,5.0
10.0,1.290168,1.290168,4.0
15.0,4.129699,4.129699,3.0
20.0,8.710594,8.710594,2.0
25.0,14.060231,14.060231,1.0
30.0,19.462308,19.462308,0.0
